".smooth",".type",".by",".estimate",".se","bio12","nymph_density_total_count","longitude","latitude","ecoregion"
"s(nymph_density_total_count)","TPRS",NA,0.027091785334445,0.363597185908804,NA,182.333333333333,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.120725510381703,0.348245939239244,NA,184.393939393939,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.219805012551252,0.33323267815925,NA,186.454545454545,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.323785714335912,0.319037096440852,NA,188.515151515152,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.432123038602413,0.306191587167055,NA,190.575757575758,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.544272406450986,0.295267965596793,NA,192.636363636364,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.659689240927342,0.286847908908808,NA,194.69696969697,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.777828964110149,0.281474290611228,NA,196.757575757576,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,0.898146998242083,0.279587789040327,NA,198.818181818182,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.02009876557305,0.281463500384508,NA,200.878787878788,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.14313968818023,0.28716906376924,NA,202.939393939394,NA,NA,NA
"s(nymph_density_total_count)","TPRS",NA,1.26672518866896,0.29656106494033,NA,205,NA,NA,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-37.57053991,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-37.4039202681818,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-37.2373006263636,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-37.0706809845455,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-36.9040613427273,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-36.7374417009091,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-36.5708220590909,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-36.4042024172727,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-36.2375827754545,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-36.0709631336364,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-35.9043434918182,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-35.73772385,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-35.5711042081818,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-35.4044845663636,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-35.2378649245455,NA
"te(longitude,latitude)","Tensor product",NA,NA,NA,NA,NA,136.9592,-35.0712452827273,NA
"te(longitude,latitude)","Tensor product",NA,-0.058893805293637,0.175329939811126,NA,NA,136.9592,-34.9046256409091,NA
"te(longitude,latitude)","Tensor product",NA,-0.0549737226860471,0.169223188476599,NA,NA,136.9592,-34.7380059990909,NA
"te(longitude,latitude)","Tensor product",NA,-0.0505841457204204,0.163189978900701,NA,NA,136.9592,-34.5713863572727,NA
"te(longitude,latitude)","Tensor product",NA,-0.0455922331649859,0.15717602284386,NA,NA,136.9592,-34.4047667154545,NA
"te(longitude,latitude)","Tensor product",NA,-0.0399119301879797,0.151173733024187,NA,NA,136.9592,-34.2381470736364,NA
"te(longitude,latitude)","Tensor product",NA,-0.0335812990315099,0.145118940591758,NA,NA,136.9592,-34.0715274318182,NA
"te(longitude,latitude)","Tensor product",NA,-0.0267736639934701,0.139024299391547,NA,NA,136.9592,-33.90490779,NA
"te(longitude,latitude)","Tensor product",NA,-0.0197183686918201,0.13311996690271,NA,NA,136.9592,-33.7382881481818,NA
"te(longitude,latitude)","Tensor product",NA,-0.01255637790372,0.127720392684954,NA,NA,136.9592,-33.5716685063636,NA
"te(longitude,latitude)","Tensor product",NA,-0.00519833293320385,0.123010788388017,NA,NA,136.9592,-33.4050488645455,NA
"te(longitude,latitude)","Tensor product",NA,0.00273577860319212,0.119056642317996,NA,NA,136.9592,-33.2384292227273,NA
"te(longitude,latitude)","Tensor product",NA,0.0118446181533071,0.115894033236421,NA,NA,136.9592,-33.0718095809091,NA
"te(longitude,latitude)","Tensor product",NA,0.0227481369279632,0.113453535697418,NA,NA,136.9592,-32.9051899390909,NA
"te(longitude,latitude)","Tensor product",NA,0.0358323659580302,0.111503924595168,NA,NA,136.9592,-32.7385702972727,NA
"te(longitude,latitude)","Tensor product",NA,0.0510371725666019,0.109842327320825,NA,NA,136.9592,-32.5719506554545,NA
"te(longitude,latitude)","Tensor product",NA,0.0677767525430674,0.108476248978367,NA,NA,136.9592,-32.4053310136364,NA
"te(longitude,latitude)","Tensor product",NA,0.0850308019553894,0.107513552496115,NA,NA,136.9592,-32.2387113718182,NA
"te(longitude,latitude)","Tensor product",NA,0.101575096283482,0.106984573403667,NA,NA,136.9592,-32.07209173,NA
"te(longitude,latitude)","Tensor product",NA,0.11626327717029,0.106883711620172,NA,NA,136.9592,-31.9054720881818,NA
"te(longitude,latitude)","Tensor product",NA,0.128239868886545,0.107217246536764,NA,NA,136.9592,-31.7388524463636,NA
"te(longitude,latitude)","Tensor product",NA,0.137053370230428,0.10790910906909,NA,NA,136.9592,-31.5722328045455,NA
"te(longitude,latitude)","Tensor product",NA,0.14263726797241,0.108705691203031,NA,NA,136.9592,-31.4056131627273,NA
"te(longitude,latitude)","Tensor product",NA,0.145173849192056,0.10927538950153,NA,NA,136.9592,-31.2389935209091,NA
"te(longitude,latitude)","Tensor product",NA,0.14493296834812,0.109390372777087,NA,NA,136.9592,-31.0723738790909,NA
