".smooth",".type",".by",".estimate",".se","nitrogen","phosphorus","nymph_density_total_count","longitude","latitude","ecoregion"
"s(nitrogen)","TPRS",NA,-0.0419940320377936,0.025093463309856,0.296813151905712,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0431585437647951,0.0251928552986778,0.300621310019117,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0447798160866742,0.0252944036822543,0.304429468132521,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0468366471223681,0.0253926718650667,0.308237626245926,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0492913794558225,0.0254835390888166,0.31204578435933,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0520915779432749,0.0255655865557659,0.315853942472734,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0551737696826944,0.0256407019981146,0.319662100586139,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.058466594957753,0.0257140303940239,0.323470258699543,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0618942041956373,0.0257930299653144,0.327278416812948,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0653799578916992,0.0258856784602891,0.331086574926352,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0688500038240177,0.0259986793250824,0.334894733039756,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0722362360928002,0.026135802502488,0.338702891153161,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0754787030948547,0.0262967690976605,0.342511049266565,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0785274836551205,0.0264770822198585,0.34631920737997,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0813455002543861,0.0266690270275634,0.350127365493374,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.083909287831924,0.0268633038662259,0.353935523606778,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0862075706621102,0.0270507210596028,0.357743681720183,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0882388324527475,0.0272235346588187,0.361551839833587,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0900117738303851,0.0273770370633797,0.365359997946991,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0915454811805682,0.0275107370644589,0.369168156060396,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0928665506747376,0.0276281864583,0.3729763141738,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0940065076344235,0.0277361813716647,0.376784472287205,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0949994241697029,0.0278436545018797,0.380592630400609,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0958798970790336,0.0279604839331806,0.384400788514013,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0966810398309093,0.0280961533349802,0.388208946627418,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0974317601734157,0.0282585743344349,0.392017104740822,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0981549550860636,0.0284534692023119,0.395825262854227,NA,NA,NA,NA,NA
"s(nitrogen)","TPRS",NA,-0.0988680222025691,0.0286844406709376,0.399633420967631,NA,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.017033511564144,0.0265933393989237,NA,0.00963337943899915,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0195956739235503,0.0261716669903801,NA,0.0116821177353038,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0221590489329063,0.025812349868409,NA,0.0137308560316085,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0247266456492224,0.0255182661344421,NA,0.0157795943279131,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0273028362086901,0.0252881184763634,NA,0.0178283326242178,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0298926898800991,0.0251145829441662,NA,0.0198770709205225,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0325014396886007,0.0249848482360857,NA,0.0219258092168271,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0351339289360043,0.0248830671104747,NA,0.0239745475131318,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0377938982025065,0.0247937038590317,NA,0.0260232858094365,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0404830170925795,0.0247046121585466,NA,0.0280720241057411,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0431996257777769,0.0246089308850603,NA,0.0301207624020458,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0459372209121557,0.0245053818603586,NA,0.0321695006983505,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0486827897078014,0.024397090944925,NA,0.0342182389946551,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0514151559702031,0.0242894782754799,NA,0.0362669772909598,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0541035448239026,0.024187980333857,NA,0.0383157155872645,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0567065926122635,0.0240963307852845,NA,0.0403644538835691,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0591720213672707,0.0240158546575201,NA,0.0424131921798738,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0614371624747257,0.0239458180760461,NA,0.0444619304761785,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0634304538311387,0.02388448304368,NA,0.0465106687724831,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0650739538315725,0.0238302984799043,NA,0.0485594070687878,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0662868212394061,0.0237826891504835,NA,0.0506081453650925,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0669896113501877,0.0237421473546599,NA,0.0526568836613971,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0671091456758753,0.0237096707864923,NA,0.0547056219577018,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0665836343095572,0.0236858809768749,NA,0.0567543602540065,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0653676757504495,0.023670285387487,NA,0.0588030985503111,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0634367348626921,0.0236610655679145,NA,0.0608518368466158,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0607907097387612,0.0236555238645128,NA,0.0629005751429205,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0574562433246726,0.0236510150097058,NA,0.0649493134392251,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.053487513257965,0.023645962174139,NA,0.0669980517355298,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0489653378608128,0.023640505684288,NA,0.0690467900318344,NA,NA,NA,NA
"s(phosphorus)","TPRS",NA,-0.0439945593399488,0.023636474420784,NA,0.0710955283281391,NA,NA,NA,NA
